symbol,entry_low,entry_high,stoploss,tp2,score
AADI.JK,10050,10650,9475,12600,100
HRTA.JK,2480,2720,2250,3360,98
TCPI.JK,11050,11650,10475,13750,97
PTBA.JK,2870,2970,2770,3430,96
ESSA.JK,715,775,660,940,95
ADRO.JK,2380,2500,2280,2910,94
ELSA.JK,665,745,585,975,93
BMRI.JK,4620,4780,4470,5400,92
BBNI.JK,4260,4380,4150,4880,91
ADMR.JK,1805,1945,1675,2350,90
INDY.JK,3230,3570,2890,4480,88
MEDC.JK,1680,1820,1540,2230,88
PSAB.JK,530,580,494,695,86
BRIS.JK,2060,2160,1980,2500,85
MDKA.JK,2930,3190,2690,3860,84
